Total Designs Scored, Generation #, Lineage 1 Score, Lineage 2 Score, Lineage 3 Score, Lineage 4 Score, Lineage 5 Score, Lineage 6 Score, Lineage 7 Score, Lineage 8 Score,
6024, 302, 145200, 188300, 196600, 166600, 182500, 182200, 185300, 163000, 
6048, 303, 145200, 188300, 196600, 166600, 182500, 182200, 185300, 163000, 
6064, 304, 145200, 188300, 196600, 166600, 182500, 182200, 185300, 163000, 
6088, 305, 145200, 188300, 196600, 166600, 182500, 182200, 185300, 163000, 
6104, 306, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6128, 307, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6144, 308, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6168, 309, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6184, 310, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6208, 311, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6224, 312, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6248, 313, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6264, 314, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6288, 315, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6304, 316, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6328, 317, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6344, 318, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6368, 319, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6384, 320, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6408, 321, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6424, 322, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6448, 323, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6464, 324, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6488, 325, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6504, 326, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6528, 327, 145200, 188300, 182600, 166600, 182500, 182200, 185300, 163000, 
6544, 328, 145200, 188300, 179000, 166600, 182500, 182200, 185300, 163000, 
6568, 329, 145200, 188300, 179000, 166600, 182500, 182200, 185300, 163000, 
6584, 330, 145200, 188300, 179000, 166600, 182500, 182200, 185300, 163000, 
6608, 331, 145200, 188300, 179000, 166600, 182500, 182200, 185300, 163000, 
6624, 332, 145200, 188300, 179000, 166600, 182500, 182200, 185300, 163000, 
6648, 333, 145200, 188300, 179000, 166600, 182500, 182200, 185300, 163000, 
6664, 334, 145200, 188300, 179000, 166600, 182500, 182200, 185300, 163000, 
6688, 335, 145200, 188300, 179000, 166600, 182500, 182200, 185300, 163000, 
