//	Structure for each line:
//	Number	-tab-	Name	-tab-	"Recipe"
//	Strand names will be strings, but are not allowed to contain spaces. Strand names must start with a letter.
// "Recipe" will be a space separated list of domains which compose a given strand. All recipes should be entered 5' to 3'. The notation "c." can be used to represent the compliment of a given domain.	
1	Scaffold m13mp18
179	S-dNAM03-1d-W-C34	c.ProbeCvar c.T TT d-dNAM03-1d-W-C34
180	S-dNAM03-1d-W-C35	c.ProbeCvar c.T TT d-dNAM03-1d-W-C35
181	S-dNAM03-1d-W-C36	c.ProbeCvar c.T TT d-dNAM03-1d-W-C36
182	S-dNAM03-1d-W-C37	c.ProbeCvar c.T TT d-dNAM03-1d-W-C37
183	S-dNAM03-1d-W-C38	c.ProbeCvar c.T TT d-dNAM03-1d-W-C38
184	S-dNAM03-1d-W-C39	c.ProbeCvar c.T TT d-dNAM03-1d-W-C39
185	S-dNAM03-1d-W-C40	c.ProbeCvar c.T TT d-dNAM03-1d-W-C40
186	S-dNAM03-1d-W-C41	c.ProbeCvar c.T TT d-dNAM03-1d-W-C41
187	S-dNAM03-1d-W-C42	c.ProbeCvar c.T TT d-dNAM03-1d-W-C42
188	S-dNAM03-1d-W-C43	c.ProbeCvar c.T TT d-dNAM03-1d-W-C43
189	S-dNAM03-1d-W-C44	c.ProbeCvar c.T TT d-dNAM03-1d-W-C44
190	S-dNAM03-1d-W-C45	c.ProbeCvar c.T TT d-dNAM03-1d-W-C45
191	S-dNAM03-1d-W-C46	c.ProbeCvar c.T TT d-dNAM03-1d-W-C46
192	S-dNAM03-1d-W-C47	c.ProbeCvar c.T TT d-dNAM03-1d-W-C47
193	S-dNAM03-1d-W-C48	c.ProbeCvar c.T TT d-dNAM03-1d-W-C48
194	S-dNAM03-1d-W-D01	c.ProbeDvar c.T TT d-dNAM03-1d-W-D01
195	S-dNAM03-1d-W-D02	c.ProbeDvar c.T TT d-dNAM03-1d-W-D02
196	S-dNAM03-1d-W-D03	c.ProbeDvar c.T TT d-dNAM03-1d-W-D03
197	S-dNAM03-1d-W-D04	c.ProbeDvar c.T TT d-dNAM03-1d-W-D04
198	S-dNAM03-1d-W-D05	c.ProbeDvar c.T TT d-dNAM03-1d-W-D05
199	S-dNAM03-1d-W-D06	c.ProbeDvar c.T TT d-dNAM03-1d-W-D06
200	S-dNAM03-1d-W-D07	c.ProbeDvar c.T TT d-dNAM03-1d-W-D07
201	S-dNAM03-1d-W-D08	c.ProbeDvar c.T TT d-dNAM03-1d-W-D08
202	S-dNAM03-1d-W-D09	c.ProbeDvar c.T TT d-dNAM03-1d-W-D09
203	S-dNAM03-1d-W-D10	c.ProbeDvar c.T TT d-dNAM03-1d-W-D10
204	S-dNAM03-1d-W-D11	c.ProbeDvar c.T TT d-dNAM03-1d-W-D11
205	S-dNAM03-1d-W-D12	c.ProbeDvar c.T TT d-dNAM03-1d-W-D12
206	S-dNAM03-1d-W-D13	c.ProbeDvar c.T TT d-dNAM03-1d-W-D13
207	S-dNAM03-1d-W-D14	c.ProbeDvar c.T TT d-dNAM03-1d-W-D14
